oid,collname,collnamespace,collowner
12810,zh_CN,11,10
12811,und-x-icu,11,10
12812,af-x-icu,11,10
12813,af-NA-x-icu,11,10
12814,af-ZA-x-icu,11,10
12815,agq-x-icu,11,10
12816,agq-CM-x-icu,11,10
12817,ak-x-icu,11,10
12818,ak-GH-x-icu,11,10
12819,am-x-icu,11,10
12820,am-ET-x-icu,11,10
12821,ar-x-icu,11,10
12822,ar-001-x-icu,11,10
12823,ar-AE-x-icu,11,10
12824,ar-BH-x-icu,11,10
12825,ar-DJ-x-icu,11,10
12826,ar-DZ-x-icu,11,10
12827,ar-EG-x-icu,11,10
12828,ar-EH-x-icu,11,10
12829,ar-ER-x-icu,11,10
12830,ar-IL-x-icu,11,10
12831,ar-IQ-x-icu,11,10
12832,ar-JO-x-icu,11,10
12833,ar-KM-x-icu,11,10
12834,ar-KW-x-icu,11,10
12835,ar-LB-x-icu,11,10
12836,ar-LY-x-icu,11,10
12837,ar-MA-x-icu,11,10
12838,ar-MR-x-icu,11,10
12839,ar-OM-x-icu,11,10
12840,ar-PS-x-icu,11,10
12841,ar-QA-x-icu,11,10
12842,ar-SA-x-icu,11,10
12843,ar-SD-x-icu,11,10
12844,ar-SO-x-icu,11,10
12845,ar-SS-x-icu,11,10
12846,ar-SY-x-icu,11,10
12847,ar-TD-x-icu,11,10
12848,ar-TN-x-icu,11,10
12849,ar-YE-x-icu,11,10
12850,as-x-icu,11,10
12851,as-IN-x-icu,11,10
12852,asa-x-icu,11,10
12853,asa-TZ-x-icu,11,10
12854,ast-x-icu,11,10
12855,ast-ES-x-icu,11,10
12856,az-x-icu,11,10
12857,az-Cyrl-x-icu,11,10
12858,az-Cyrl-AZ-x-icu,11,10
12859,az-Latn-x-icu,11,10
12860,az-Latn-AZ-x-icu,11,10
12861,bas-x-icu,11,10
12862,bas-CM-x-icu,11,10
12863,be-x-icu,11,10
12864,be-BY-x-icu,11,10
12865,bem-x-icu,11,10
12866,bem-ZM-x-icu,11,10
12867,bez-x-icu,11,10
12868,bez-TZ-x-icu,11,10
12869,bg-x-icu,11,10
12870,bg-BG-x-icu,11,10
12871,bm-x-icu,11,10
12872,bm-ML-x-icu,11,10
12873,bn-x-icu,11,10
12874,bn-BD-x-icu,11,10
12875,bn-IN-x-icu,11,10
12876,bo-x-icu,11,10
12877,bo-CN-x-icu,11,10
12878,bo-IN-x-icu,11,10
12879,br-x-icu,11,10
12880,br-FR-x-icu,11,10
12881,brx-x-icu,11,10
12882,brx-IN-x-icu,11,10
12883,bs-x-icu,11,10
12884,bs-Cyrl-x-icu,11,10
12885,bs-Cyrl-BA-x-icu,11,10
12886,bs-Latn-x-icu,11,10
12887,bs-Latn-BA-x-icu,11,10
12888,ca-x-icu,11,10
12889,ca-AD-x-icu,11,10
12890,ca-ES-x-icu,11,10
12891,ca-FR-x-icu,11,10
12892,ca-IT-x-icu,11,10
12893,ccp-x-icu,11,10
12894,ccp-BD-x-icu,11,10
12895,ccp-IN-x-icu,11,10
12896,ce-x-icu,11,10
12897,ce-RU-x-icu,11,10
12898,ceb-x-icu,11,10
12899,ceb-PH-x-icu,11,10
12900,cgg-x-icu,11,10
12901,cgg-UG-x-icu,11,10
12902,chr-x-icu,11,10
12903,chr-US-x-icu,11,10
12904,ckb-x-icu,11,10
12905,ckb-IQ-x-icu,11,10
12906,ckb-IR-x-icu,11,10
12907,cs-x-icu,11,10
12908,cs-CZ-x-icu,11,10
12909,cy-x-icu,11,10
12910,cy-GB-x-icu,11,10
12911,da-x-icu,11,10
12912,da-DK-x-icu,11,10
12913,da-GL-x-icu,11,10
12914,dav-x-icu,11,10
12915,dav-KE-x-icu,11,10
12916,de-x-icu,11,10
12917,de-AT-x-icu,11,10
12918,de-BE-x-icu,11,10
12919,de-CH-x-icu,11,10
12920,de-DE-x-icu,11,10
12921,de-IT-x-icu,11,10
12922,de-LI-x-icu,11,10
12923,de-LU-x-icu,11,10
12924,dje-x-icu,11,10
12925,dje-NE-x-icu,11,10
12926,doi-x-icu,11,10
12927,doi-IN-x-icu,11,10
12928,dsb-x-icu,11,10
12929,dsb-DE-x-icu,11,10
12930,dua-x-icu,11,10
12931,dua-CM-x-icu,11,10
12932,dyo-x-icu,11,10
12933,dyo-SN-x-icu,11,10
12934,dz-x-icu,11,10
12935,dz-BT-x-icu,11,10
12936,ebu-x-icu,11,10
12937,ebu-KE-x-icu,11,10
12938,ee-x-icu,11,10
12939,ee-GH-x-icu,11,10
12940,ee-TG-x-icu,11,10
12941,el-x-icu,11,10
12942,el-CY-x-icu,11,10
12943,el-GR-x-icu,11,10
12944,en-x-icu,11,10
12945,en-001-x-icu,11,10
12946,en-150-x-icu,11,10
12947,en-AE-x-icu,11,10
12948,en-AG-x-icu,11,10
12949,en-AI-x-icu,11,10
12950,en-AS-x-icu,11,10
12951,en-AT-x-icu,11,10
12952,en-AU-x-icu,11,10
12953,en-BB-x-icu,11,10
12954,en-BE-x-icu,11,10
12955,en-BI-x-icu,11,10
12956,en-BM-x-icu,11,10
12957,en-BS-x-icu,11,10
12958,en-BW-x-icu,11,10
12959,en-BZ-x-icu,11,10
12960,en-CA-x-icu,11,10
12961,en-CC-x-icu,11,10
12962,en-CH-x-icu,11,10
12963,en-CK-x-icu,11,10
12964,en-CM-x-icu,11,10
12965,en-CX-x-icu,11,10
12966,en-CY-x-icu,11,10
12967,en-DE-x-icu,11,10
12968,en-DG-x-icu,11,10
12969,en-DK-x-icu,11,10
12970,en-DM-x-icu,11,10
12971,en-ER-x-icu,11,10
12972,en-FI-x-icu,11,10
12973,en-FJ-x-icu,11,10
12974,en-FK-x-icu,11,10
12975,en-FM-x-icu,11,10
12976,en-GB-x-icu,11,10
12977,en-GD-x-icu,11,10
12978,en-GG-x-icu,11,10
12979,en-GH-x-icu,11,10
12980,en-GI-x-icu,11,10
12981,en-GM-x-icu,11,10
12982,en-GU-x-icu,11,10
12983,en-GY-x-icu,11,10
12984,en-HK-x-icu,11,10
12985,en-IE-x-icu,11,10
12986,en-IL-x-icu,11,10
12987,en-IM-x-icu,11,10
12988,en-IN-x-icu,11,10
12989,en-IO-x-icu,11,10
12990,en-JE-x-icu,11,10
12991,en-JM-x-icu,11,10
12992,en-KE-x-icu,11,10
12993,en-KI-x-icu,11,10
12994,en-KN-x-icu,11,10
12995,en-KY-x-icu,11,10
12996,en-LC-x-icu,11,10
12997,en-LR-x-icu,11,10
12998,en-LS-x-icu,11,10
12999,en-MG-x-icu,11,10
13000,en-MH-x-icu,11,10
13001,en-MO-x-icu,11,10
13002,en-MP-x-icu,11,10
13003,en-MS-x-icu,11,10
13004,en-MT-x-icu,11,10
13005,en-MU-x-icu,11,10
13006,en-MW-x-icu,11,10
13007,en-MY-x-icu,11,10
13008,en-NA-x-icu,11,10
13009,en-NF-x-icu,11,10
13010,en-NG-x-icu,11,10
13011,en-NL-x-icu,11,10
13012,en-NR-x-icu,11,10
13013,en-NU-x-icu,11,10
13014,en-NZ-x-icu,11,10
13015,en-PG-x-icu,11,10
13016,en-PH-x-icu,11,10
13017,en-PK-x-icu,11,10
13018,en-PN-x-icu,11,10
13019,en-PR-x-icu,11,10
13020,en-PW-x-icu,11,10
13021,en-RW-x-icu,11,10
13022,en-SB-x-icu,11,10
13023,en-SC-x-icu,11,10
13024,en-SD-x-icu,11,10
13025,en-SE-x-icu,11,10
13026,en-SG-x-icu,11,10
13027,en-SH-x-icu,11,10
13028,en-SI-x-icu,11,10
13029,en-SL-x-icu,11,10
13030,en-SS-x-icu,11,10
13031,en-SX-x-icu,11,10
13032,en-SZ-x-icu,11,10
13033,en-TC-x-icu,11,10
13034,en-TK-x-icu,11,10
13035,en-TO-x-icu,11,10
13036,en-TT-x-icu,11,10
13037,en-TV-x-icu,11,10
13038,en-TZ-x-icu,11,10
13039,en-UG-x-icu,11,10
13040,en-UM-x-icu,11,10
13041,en-US-x-icu,11,10
13042,en-US-u-va-posix-x-icu,11,10
13043,en-VC-x-icu,11,10
13044,en-VG-x-icu,11,10
13045,en-VI-x-icu,11,10
13046,en-VU-x-icu,11,10
13047,en-WS-x-icu,11,10
13048,en-ZA-x-icu,11,10
13049,en-ZM-x-icu,11,10
13050,en-ZW-x-icu,11,10
13051,eo-x-icu,11,10
13052,eo-001-x-icu,11,10
13053,es-x-icu,11,10
13054,es-419-x-icu,11,10
13055,es-AR-x-icu,11,10
13056,es-BO-x-icu,11,10
13057,es-BR-x-icu,11,10
13058,es-BZ-x-icu,11,10
13059,es-CL-x-icu,11,10
13060,es-CO-x-icu,11,10
13061,es-CR-x-icu,11,10
13062,es-CU-x-icu,11,10
13063,es-DO-x-icu,11,10
